FECHA_ACCIDENTE,Y,CLASE_ACCIDENTE
2015-08-16,8,Atropello
2015-08-17,8,Atropello
2015-08-18,11,Atropello
2015-08-19,15,Atropello
2015-08-20,9,Atropello
2015-08-21,5,Atropello
2015-08-22,9,Atropello
2015-08-23,7,Atropello
2015-08-24,12,Atropello
2015-08-25,10,Atropello
2015-08-26,8,Atropello
2015-08-27,19,Atropello
2015-08-28,22,Atropello
2015-08-29,16,Atropello
2015-08-30,11,Atropello
2015-08-31,11,Atropello
2015-09-01,17,Atropello
2015-09-02,16,Atropello
2015-09-03,10,Atropello
2015-09-04,13,Atropello
2015-09-05,18,Atropello
2015-09-06,13,Atropello
2015-09-07,14,Atropello
2015-09-08,15,Atropello
2015-09-09,14,Atropello
2015-09-10,16,Atropello
2015-09-11,6,Atropello
2015-09-12,12,Atropello
2015-09-13,13,Atropello
2015-09-14,18,Atropello
2015-09-15,13,Atropello
2015-09-16,12,Atropello
2015-09-17,13,Atropello
2015-09-18,17,Atropello
2015-09-19,14,Atropello
2015-09-20,9,Atropello
2015-09-21,8,Atropello
2015-09-22,15,Atropello
2015-09-23,10,Atropello
2015-09-24,17,Atropello
2015-09-25,12,Atropello
2015-09-26,12,Atropello
2015-09-27,7,Atropello
2015-09-28,10,Atropello
2015-09-29,12,Atropello
2015-09-30,16,Atropello
2015-10-01,19,Atropello
2015-10-02,7,Atropello
2015-10-03,14,Atropello
2015-10-04,11,Atropello
2015-10-05,10,Atropello
2015-10-06,11,Atropello
2015-10-07,18,Atropello
2015-10-08,8,Atropello
2015-10-09,21,Atropello
2015-10-10,14,Atropello
2015-10-11,12,Atropello
2015-10-12,15,Atropello
2015-10-13,9,Atropello
2015-10-14,15,Atropello
2015-10-15,9,Atropello
2015-10-16,19,Atropello
2015-10-17,17,Atropello
2015-10-18,8,Atropello
2015-10-19,16,Atropello
2015-10-20,8,Atropello
2015-10-21,10,Atropello
2015-10-22,17,Atropello
2015-10-23,7,Atropello
2015-10-24,6,Atropello
2015-10-25,10,Atropello
2015-10-26,6,Atropello
2015-10-27,12,Atropello
2015-10-28,13,Atropello
2015-10-29,14,Atropello
2015-10-30,14,Atropello
2015-10-31,17,Atropello
2015-11-01,9,Atropello
2015-11-02,17,Atropello
2015-11-03,8,Atropello
2015-11-04,14,Atropello
2015-11-05,15,Atropello
2015-11-06,19,Atropello
2015-11-07,11,Atropello
2015-11-08,12,Atropello
2015-11-09,9,Atropello
2015-11-10,10,Atropello
2015-11-11,8,Atropello
2015-11-12,10,Atropello
2015-11-13,15,Atropello
2015-11-14,7,Atropello
2015-11-15,6,Atropello
2015-11-16,5,Atropello
2015-11-17,13,Atropello
2015-11-18,9,Atropello
2015-11-19,10,Atropello
2015-11-20,11,Atropello
2015-11-21,10,Atropello
2015-11-22,12,Atropello
2015-11-23,13,Atropello
2015-11-24,7,Atropello
2015-11-25,10,Atropello
2015-11-26,13,Atropello
2015-11-27,11,Atropello
2015-11-28,14,Atropello
2015-11-29,5,Atropello
2015-11-30,11,Atropello
2015-12-01,6,Atropello
2015-12-02,13,Atropello
2015-12-03,13,Atropello
2015-12-04,3,Atropello
2015-12-05,15,Atropello
2015-12-06,10,Atropello
2015-12-07,12,Atropello
2015-12-08,18,Atropello
2015-12-09,16,Atropello
2015-12-10,10,Atropello
2015-12-11,14,Atropello
2015-12-12,11,Atropello
2015-12-13,16,Atropello
2015-12-14,10,Atropello
2015-12-15,13,Atropello
2015-12-16,12,Atropello
2015-12-17,15,Atropello
2015-12-18,15,Atropello
2015-12-19,17,Atropello
2015-12-20,17,Atropello
2015-12-21,8,Atropello
2015-12-22,9,Atropello
2015-12-23,11,Atropello
2015-12-24,18,Atropello
2015-12-25,13,Atropello
2015-12-26,9,Atropello
2015-12-27,11,Atropello
2015-12-28,12,Atropello
2015-12-29,10,Atropello
2015-12-30,9,Atropello
2015-12-31,15,Atropello
2016-01-01,12,Atropello
2016-01-02,16,Atropello
2016-01-03,14,Atropello
2016-01-04,6,Atropello
2016-01-05,11,Atropello
2016-01-06,12,Atropello
2016-01-07,13,Atropello
2016-01-08,13,Atropello
2016-01-09,15,Atropello
2016-01-10,15,Atropello
2016-01-11,5,Atropello
2016-01-12,13,Atropello
2016-01-13,6,Atropello
2016-01-14,8,Atropello
2016-01-15,10,Atropello
2016-01-16,9,Atropello
2016-01-17,11,Atropello
2016-01-18,14,Atropello
2016-01-19,14,Atropello
2016-01-20,19,Atropello
2016-01-21,11,Atropello
2016-01-22,7,Atropello
2016-01-23,18,Atropello
2016-01-24,10,Atropello
2016-01-25,7,Atropello
2016-01-26,15,Atropello
2016-01-27,10,Atropello
2016-01-28,8,Atropello
2016-01-29,18,Atropello
2016-01-30,11,Atropello
2016-01-31,9,Atropello
2016-02-01,5,Atropello
2016-02-02,16,Atropello
2016-02-03,9,Atropello
2016-02-04,9,Atropello
2016-02-05,7,Atropello
2016-02-06,9,Atropello
2016-02-07,14,Atropello
2016-02-08,12,Atropello
2016-02-09,19,Atropello
2016-02-10,14,Atropello
2016-02-11,10,Atropello
2016-02-12,10,Atropello
2016-02-13,11,Atropello
2016-02-14,5,Atropello
2016-02-15,13,Atropello
2016-02-16,13,Atropello
2016-02-17,11,Atropello
2016-02-18,10,Atropello
2016-02-19,19,Atropello
2016-02-20,12,Atropello
2016-02-21,7,Atropello
2016-02-22,10,Atropello
2016-02-23,14,Atropello
2016-02-24,11,Atropello
2016-02-25,7,Atropello
2016-02-26,13,Atropello
2016-02-27,11,Atropello
2016-02-28,10,Atropello
2016-02-29,9,Atropello
2016-03-01,7,Atropello
2016-03-02,10,Atropello
2016-03-03,8,Atropello
2016-03-04,8,Atropello
2016-03-05,5,Atropello
2016-03-06,16,Atropello
2016-03-07,6,Atropello
2016-03-08,11,Atropello
2016-03-09,18,Atropello
2016-03-10,21,Atropello
2016-03-11,12,Atropello
2016-03-12,13,Atropello
2016-03-13,11,Atropello
2016-03-14,11,Atropello
2016-03-15,21,Atropello
2016-03-16,12,Atropello
2016-03-17,13,Atropello
2016-03-18,11,Atropello
2016-03-19,19,Atropello
2016-03-20,7,Atropello
2016-03-21,13,Atropello
2016-03-22,15,Atropello
2016-03-23,10,Atropello
2016-03-24,7,Atropello
2016-03-25,4,Atropello
2016-03-26,13,Atropello
2016-03-27,10,Atropello
2016-03-28,14,Atropello
2016-03-29,15,Atropello
2016-03-30,13,Atropello
2016-03-31,10,Atropello
2016-04-01,6,Atropello
2016-04-02,16,Atropello
2016-04-03,7,Atropello
2016-04-04,6,Atropello
2016-04-05,8,Atropello
2016-04-06,14,Atropello
2016-04-07,8,Atropello
2016-04-08,11,Atropello
2016-04-09,11,Atropello
2016-04-10,7,Atropello
2016-04-11,7,Atropello
2016-04-12,10,Atropello
2016-04-13,9,Atropello
2016-04-14,14,Atropello
2016-04-15,10,Atropello
2016-04-16,11,Atropello
2016-04-17,17,Atropello
2016-04-18,13,Atropello
2016-04-19,14,Atropello
2016-04-20,9,Atropello
2016-04-21,12,Atropello
2016-04-22,13,Atropello
2016-04-23,10,Atropello
2016-04-24,7,Atropello
2016-04-25,12,Atropello
2016-04-26,9,Atropello
2016-04-27,12,Atropello
2016-04-28,10,Atropello
2016-04-29,14,Atropello
2016-04-30,12,Atropello
2016-05-01,9,Atropello
2016-05-02,12,Atropello
2016-05-03,17,Atropello
2016-05-04,10,Atropello
2016-05-05,11,Atropello
2016-05-06,14,Atropello
2016-05-07,12,Atropello
2016-05-08,13,Atropello
2016-05-09,11,Atropello
2016-05-10,11,Atropello
2016-05-11,11,Atropello
2016-05-12,6,Atropello
2016-05-13,15,Atropello
2016-05-14,11,Atropello
2016-05-15,16,Atropello
2016-05-16,15,Atropello
2016-05-17,16,Atropello
2016-05-18,9,Atropello
2016-05-19,15,Atropello
2016-05-20,12,Atropello
2016-05-21,9,Atropello
2016-05-22,10,Atropello
2016-05-23,9,Atropello
2016-05-24,15,Atropello
2016-05-25,8,Atropello
2016-05-26,9,Atropello
2016-05-27,13,Atropello
2016-05-28,13,Atropello
2016-05-29,6,Atropello
2016-05-30,3,Atropello
2016-05-31,3,Atropello
2016-06-01,3,Atropello
2016-06-02,24,Atropello
2016-06-03,9,Atropello
2016-06-04,22,Atropello
2016-06-05,18,Atropello
2016-06-06,10,Atropello
2016-06-07,9,Atropello
2016-06-08,19,Atropello
2016-06-09,13,Atropello
2016-06-10,13,Atropello
2016-06-11,11,Atropello
2016-06-12,11,Atropello
2016-06-13,8,Atropello
2016-06-14,4,Atropello
2016-06-15,2,Atropello
2016-06-16,14,Atropello
2016-06-17,12,Atropello
2016-06-18,18,Atropello
2016-06-19,9,Atropello
2016-06-20,14,Atropello
2016-06-21,11,Atropello
2016-06-22,11,Atropello
2016-06-23,10,Atropello
2016-06-24,11,Atropello
2016-06-25,11,Atropello
2016-06-26,5,Atropello
2016-06-27,14,Atropello
2016-06-28,10,Atropello
2016-06-29,11,Atropello
2016-06-30,5,Atropello
2016-07-01,11,Atropello
2016-07-02,12,Atropello
2016-07-03,15,Atropello
2016-07-04,11,Atropello
2016-07-05,14,Atropello
2016-07-06,7,Atropello
2016-07-07,18,Atropello
2016-07-08,7,Atropello
2016-07-09,11,Atropello
2016-07-10,13,Atropello
2016-07-11,8,Atropello
2016-07-12,8,Atropello
2016-07-13,9,Atropello
2016-07-14,16,Atropello
2016-07-15,10,Atropello
2016-07-16,8,Atropello
2016-07-17,6,Atropello
2016-07-18,14,Atropello
2016-07-19,18,Atropello
2016-07-20,11,Atropello
2016-07-21,4,Atropello
2016-07-22,13,Atropello
2016-07-23,13,Atropello
2016-07-24,7,Atropello
2016-07-25,7,Atropello
2016-07-26,8,Atropello
2016-07-27,16,Atropello
2016-07-28,19,Atropello
2016-07-29,7,Atropello
2016-07-30,15,Atropello
2016-07-31,8,Atropello
2016-08-01,8,Atropello
2016-08-02,15,Atropello
2016-08-03,11,Atropello
2016-08-04,17,Atropello
2016-08-05,14,Atropello
2016-08-06,6,Atropello
2016-08-07,13,Atropello
2016-08-08,9,Atropello
2016-08-09,10,Atropello
2016-08-10,12,Atropello
2016-08-11,12,Atropello
2016-08-12,8,Atropello
2016-08-13,10,Atropello
2016-08-14,11,Atropello
2016-08-15,5,Atropello
2016-08-16,10,Atropello
2016-08-17,9,Atropello
2016-08-18,11,Atropello
2016-08-19,11,Atropello
2016-08-20,8,Atropello
2016-08-21,10,Atropello
2016-08-22,17,Atropello
2016-08-23,15,Atropello
2016-08-24,13,Atropello
2016-08-25,18,Atropello
2016-08-26,9,Atropello
2016-08-27,13,Atropello
2016-08-28,10,Atropello
2016-08-29,10,Atropello
2016-08-30,10,Atropello
2016-08-31,6,Atropello
2016-09-01,10,Atropello
2016-09-02,22,Atropello
2016-09-03,9,Atropello
2016-09-04,11,Atropello
2016-09-05,8,Atropello
2016-09-06,10,Atropello
2016-09-07,14,Atropello
2016-09-08,10,Atropello
2016-09-09,8,Atropello
2016-09-10,15,Atropello
2016-09-11,13,Atropello
2016-09-12,8,Atropello
2016-09-13,13,Atropello
2016-09-14,10,Atropello
2016-09-15,12,Atropello
2016-09-16,18,Atropello
2016-09-17,17,Atropello
2016-09-18,10,Atropello
2016-09-19,10,Atropello
2016-09-20,15,Atropello
2016-09-21,22,Atropello
2016-09-22,9,Atropello
2016-09-23,18,Atropello
2016-09-24,9,Atropello
2016-09-25,7,Atropello
2016-09-26,14,Atropello
2016-09-27,5,Atropello
2016-09-28,16,Atropello
2016-09-29,11,Atropello
2016-09-30,13,Atropello
2016-10-01,11,Atropello
2016-10-02,11,Atropello
2016-10-03,13,Atropello
2016-10-04,12,Atropello
2016-10-05,7,Atropello
2016-10-06,12,Atropello
2016-10-07,13,Atropello
2016-10-08,15,Atropello
2016-10-09,16,Atropello
2016-10-10,9,Atropello
2016-10-11,13,Atropello
2016-10-12,15,Atropello
2016-10-13,13,Atropello
2016-10-14,15,Atropello
2016-10-15,5,Atropello
2016-10-16,7,Atropello
2016-10-17,7,Atropello
2016-10-18,8,Atropello
2016-10-19,16,Atropello
2016-10-20,13,Atropello
2016-10-21,11,Atropello
2016-10-22,16,Atropello
2016-10-23,17,Atropello
2016-10-24,16,Atropello
2016-10-25,9,Atropello
2016-10-26,5,Atropello
2016-10-27,9,Atropello
2016-10-28,14,Atropello
2016-10-29,15,Atropello
2016-10-30,8,Atropello
2016-10-31,7,Atropello
2016-11-01,3,Atropello
2016-11-02,16,Atropello
2016-11-03,16,Atropello
2016-11-04,14,Atropello
2016-11-05,10,Atropello
2016-11-06,19,Atropello
2016-11-07,15,Atropello
2016-11-08,9,Atropello
2016-11-09,8,Atropello
2016-11-10,8,Atropello
2016-11-11,13,Atropello
2016-11-12,9,Atropello
2016-11-13,14,Atropello
2016-11-14,6,Atropello
2016-11-15,19,Atropello
2016-11-16,5,Atropello
